Week,Sprint,Start_Date,End_Date,Planned_Tasks,Completed_Tasks,Completion_%,Velocity,Blockers,Highlights,Action_Items,Status
Week 1,Sprint 1,2025-02-03,2025-02-07,12,0,0,0,None,Project kickoff,Setup repo & env,Not Started
Week 2,Sprint 1,2025-02-10,2025-02-14,15,0,0,0,,,,Not Started
Week 3,Sprint 1,2025-02-17,2025-02-21,10,0,0,0,,,,Not Started
Week 4,Sprint 1,2025-02-24,2025-02-28,8,0,0,0,,,,Not Started
Week 5,Sprint 2,2025-03-03,2025-03-07,13,0,0,0,,,,Not Started
Week 6,Sprint 2,2025-03-10,2025-03-14,14,0,0,0,,,,Not Started
Week 7,Sprint 2,2025-03-17,2025-03-21,13,0,0,0,,,,Not Started
Week 8,Sprint 2,2025-03-24,2025-03-28,12,0,0,0,,,,Not Started
Week 9,Sprint 3,2025-03-31,2025-04-04,12,0,0,0,,,,Not Started
Week 10,Sprint 3,2025-04-07,2025-04-11,12,0,0,0,,,,Not Started
Week 11,Sprint 3,2025-04-14,2025-04-18,12,0,0,0,,,,Not Started
Week 12,Sprint 3,2025-04-21,2025-04-25,12,0,0,0,,,,Not Started
Week 13,Sprint 4,2025-04-28,2025-05-02,10,0,0,0,,,,Not Started
Week 14,Sprint 4,2025-05-05,2025-05-09,10,0,0,0,,,,Not Started
Week 15,Sprint 4,2025-05-12,2025-05-16,8,0,0,0,,,,Not Started
Week 16,Sprint 4,2025-05-19,2025-05-23,7,0,0,0,,,,Not Started
